"Date","Price","Open","High","Low","Change %"
"Sep 20, 2019","6.782","6.587","6.874","6.552","2.23%"
"Sep 19, 2019","6.634","6.611","6.642","6.573","0.26%"
"Sep 18, 2019","6.617","6.660","6.680","6.602","-1.65%"
"Sep 17, 2019","6.728","6.728","6.737","6.700","0.27%"
"Sep 16, 2019","6.710","6.723","6.746","6.683","1.19%"
"Sep 13, 2019","6.631","6.666","6.674","6.607","-0.41%"
"Sep 12, 2019","6.658","6.669","6.705","6.631","-0.24%"
"Sep 11, 2019","6.674","6.606","6.675","6.595","1.58%"
"Sep 09, 2019","6.570","6.606","6.606","6.563","-0.41%"
"Sep 06, 2019","6.597","6.595","6.603","6.574","0.40%"
"Sep 05, 2019","6.571","6.597","6.597","6.555","0.40%"
"Sep 04, 2019","6.545","6.502","6.547","6.499","0.45%"
"Sep 03, 2019","6.516","6.498","6.529","6.488","-0.61%"
"Aug 30, 2019","6.556","6.562","6.582","6.553","0.20%"
"Aug 29, 2019","6.543","6.571","6.624","6.537","-0.32%"
"Aug 28, 2019","6.564","6.518","6.576","6.501","0.66%"
"Aug 27, 2019","6.521","6.393","6.530","6.391","0.76%"
"Aug 26, 2019","6.472","6.501","6.526","6.472","-1.40%"
"Aug 23, 2019","6.564","6.567","6.578","6.551","0.15%"
"Aug 22, 2019","6.554","6.585","6.586","6.531","-0.09%"
"Aug 21, 2019","6.560","6.583","6.583","6.534","-0.27%"
"Aug 20, 2019","6.578","6.584","6.627","6.572","-0.05%"
"Aug 19, 2019","6.581","6.553","6.596","6.549","0.70%"
"Aug 16, 2019","6.535","6.584","6.596","6.527","-1.28%"
"Aug 14, 2019","6.620","6.541","6.639","6.523","1.56%"
"Aug 13, 2019","6.518","6.503","6.538","6.496","0.37%"
"Aug 09, 2019","6.494","6.404","6.523","6.399","1.44%"
"Aug 08, 2019","6.402","6.381","6.404","6.364","0.52%"
"Aug 07, 2019","6.369","6.314","6.398","6.296","0.49%"
"Aug 06, 2019","6.338","6.361","6.381","6.325","-0.81%"
"Aug 05, 2019","6.390","6.367","6.423","6.361","0.60%"
"Aug 02, 2019","6.352","6.333","6.361","6.324","-1.11%"
"Aug 01, 2019","6.423","6.394","6.432","6.384","0.85%"
"Jul 31, 2019","6.369","6.403","6.403","6.359","-0.28%"
"Jul 30, 2019","6.387","6.416","6.437","6.379","-0.39%"
"Jul 29, 2019","6.412","6.452","6.460","6.412","-1.73%"
"Jul 26, 2019","6.525","6.538","6.556","6.506","0.17%"
"Jul 25, 2019","6.514","6.441","6.551","6.422","1.18%"
"Jul 24, 2019","6.438","6.476","6.479","6.425","-0.40%"
"Jul 23, 2019","6.464","6.452","6.477","6.408","0.72%"
"Jul 22, 2019","6.418","6.424","6.453","6.406","0.90%"
"Jul 19, 2019","6.361","6.383","6.385","6.348","-0.41%"
"Jul 18, 2019","6.387","6.310","6.402","6.310","0.66%"
"Jul 17, 2019","6.345","6.281","6.413","6.266","0.22%"
"Jul 16, 2019","6.331","6.413","6.413","6.317","-1.59%"
"Jul 15, 2019","6.433","6.459","6.467","6.430","-0.85%"
"Jul 12, 2019","6.488","6.528","6.541","6.457","-0.08%"
"Jul 11, 2019","6.493","6.558","6.562","6.487","-0.76%"
"Jul 10, 2019","6.543","6.588","6.610","6.516","-0.68%"
"Jul 09, 2019","6.588","6.555","6.610","6.555","0.40%"
"Jul 08, 2019","6.562","6.713","6.713","6.562","-1.99%"
"Jul 05, 2019","6.695","6.755","6.766","6.576","-0.83%"
"Jul 04, 2019","6.751","6.837","6.849","6.751","-1.20%"
"Jul 03, 2019","6.833","6.809","6.835","6.804","-0.19%"
"Jul 02, 2019","6.846","6.860","6.876","6.829","-0.52%"
"Jul 01, 2019","6.882","6.906","6.930","6.882","0.04%"
"Jun 28, 2019","6.879","6.888","6.900","6.870","-0.26%"
"Jun 27, 2019","6.897","6.957","6.957","6.880","-0.52%"
"Jun 26, 2019","6.933","6.917","6.942","6.917","0.74%"
"Jun 25, 2019","6.882","6.838","6.896","6.837","0.45%"
"Jun 24, 2019","6.851","6.840","6.883","6.811","-0.15%"
"Jun 21, 2019","6.861","6.825","6.893","6.825","1.03%"
"Jun 20, 2019","6.791","6.769","6.791","6.734","-0.73%"
"Jun 19, 2019","6.841","6.831","6.849","6.817","0.48%"
"Jun 18, 2019","6.808","6.912","6.920","6.808","-1.77%"
"Jun 17, 2019","6.931","6.933","6.947","6.915","0.17%"
"Jun 14, 2019","6.919","6.993","6.997","6.914","-1.28%"
"Jun 13, 2019","7.009","6.989","7.028","6.965","-0.04%"
"Jun 12, 2019","7.012","7.022","7.025","6.995","-0.36%"
"Jun 11, 2019","7.037","7.083","7.097","7.036","-0.57%"
"Jun 10, 2019","7.077","6.984","7.087","6.983","1.48%"
"Jun 07, 2019","6.974","6.951","6.984","6.948","0.62%"
"Jun 06, 2019","6.931","7.012","7.012","6.876","-1.30%"
"Jun 04, 2019","7.022","6.979","7.024","6.977","0.57%"
"Jun 03, 2019","6.982","6.949","7.001","6.941","-0.71%"
"May 31, 2019","7.032","7.075","7.077","7.030","-1.42%"
"May 30, 2019","7.133","7.135","7.139","7.127","0.11%"
"May 29, 2019","7.125","7.127","7.143","7.116","-0.34%"
"May 28, 2019","7.149","7.177","7.179","7.135","-0.25%"
"May 27, 2019","7.167","7.226","7.228","7.162","-0.82%"
"May 24, 2019","7.226","7.220","7.239","7.203","-0.18%"
"May 23, 2019","7.239","7.232","7.244","7.191","-0.29%"
"May 22, 2019","7.260","7.302","7.308","7.260","-0.59%"
"May 21, 2019","7.303","7.293","7.312","7.286","0.23%"
"May 20, 2019","7.286","7.287","7.309","7.275","-1.03%"
"May 17, 2019","7.362","7.397","7.397","7.360","-0.20%"
"May 16, 2019","7.377","7.394","7.402","7.375","-0.03%"
"May 15, 2019","7.379","7.379","7.384","7.360","0.01%"
"May 14, 2019","7.378","7.388","7.388","7.348","-0.14%"
"May 13, 2019","7.388","7.418","7.419","7.385","-0.34%"
"May 10, 2019","7.413","7.407","7.426","7.403","0.22%"
"May 09, 2019","7.397","7.387","7.400","7.371","0.30%"
"May 08, 2019","7.375","7.392","7.392","7.370","-0.09%"
"May 07, 2019","7.382","7.417","7.424","7.381","-0.16%"
"May 06, 2019","7.394","7.403","7.403","7.365","-0.04%"
"May 03, 2019","7.397","7.372","7.401","7.369","0.15%"
"May 02, 2019","7.386","7.411","7.411","7.386","-0.38%"
"Apr 30, 2019","7.414","7.395","7.421","7.387","0.08%"
"Apr 26, 2019","7.408","7.436","7.446","7.405","-0.58%"
"Apr 25, 2019","7.451","7.441","7.477","7.441","0.36%"
"Apr 24, 2019","7.424","7.429","7.436","7.421","-0.66%"
"Apr 23, 2019","7.473","7.489","7.495","7.460","-0.01%"
"Apr 22, 2019","7.474","7.455","7.497","7.455","0.73%"
"Apr 18, 2019","7.420","7.412","7.430","7.408","0.41%"
"Apr 16, 2019","7.390","7.390","7.404","7.376","-0.03%"
"Apr 15, 2019","7.392","7.411","7.414","7.387","-0.23%"
"Apr 12, 2019","7.409","7.383","7.410","7.380","0.52%"
"Apr 11, 2019","7.371","7.381","7.381","7.362","0.05%"
"Apr 10, 2019","7.367","7.363","7.379","7.356","-0.09%"
"Apr 09, 2019","7.374","7.411","7.418","7.373","-0.35%"
"Apr 08, 2019","7.400","7.374","7.411","7.374","0.64%"
"Apr 05, 2019","7.353","7.352","7.362","7.316","0.07%"
"Apr 04, 2019","7.348","7.271","7.348","7.229","1.06%"
"Apr 03, 2019","7.271","7.280","7.288","7.255","-0.01%"
"Apr 02, 2019","7.272","7.356","7.356","7.271","-1.01%"
"Mar 29, 2019","7.346","7.329","7.351","7.310","0.31%"
"Mar 28, 2019","7.323","7.319","7.334","7.301","-0.05%"
"Mar 27, 2019","7.327","7.344","7.357","7.323","-0.20%"
"Mar 26, 2019","7.342","7.329","7.343","7.328","-1.73%"
"Mar 25, 2019","7.471","7.471","7.474","7.456","-0.44%"
"Mar 22, 2019","7.504","7.477","7.506","7.474","-0.17%"
"Mar 20, 2019","7.517","7.535","7.544","7.513","-0.25%"
"Mar 19, 2019","7.536","7.494","7.545","7.479","0.75%"
